Portsmouth,Blackburn,2-2
Tottenham,Man City,2-1
Wigan,Birmingham,1-1
Aston Villa,West Brom,0-0
Chelsea,West Ham,4-1
Liverpool,Bolton,1-0
Man United,Arsenal,2-0
Middlesbrough,Newcastle,1-2
Portsmouth,Arsenal,1-1
Man United,Sunderland,0-0
Arsenal,West Brom,3-1
Bolton,Chelsea,0-2
Everton,Tottenham,0-1
Fulham,Charlton,2-1
Newcastle,Wigan,3-1
Portsmouth,Middlesbrough,1-0
West Ham,Man City,1-0
Aston Villa,Birmingham,3-1
Blackburn,Liverpool,0-1
Charlton,Portsmouth,2-1
Chelsea,Everton,3-0
Middlesbrough,West Ham,2-0
Sunderland,Newcastle,1-4
Tottenham,Man United,1-2
West Brom,Bolton,0-0
Wigan,Aston Villa,3-2
Birmingham,Blackburn,2-1
Arsenal,Tottenham,1-1
Bolton,Charlton,4-1
Everton,Birmingham,0-0
Newcastle,West Brom,3-0
Portsmouth,Sunderland,2-1
Fulham,Wigan,1-0
Aston Villa,Man City,0-1
West Ham,Liverpool,1-2
Birmingham,Newcastle,0-0
Charlton,Blackburn,0-2
Chelsea,Man United,3-0
Liverpool,Aston Villa,3-1
Man City,Fulham,1-2
Middlesbrough,Everton,0-1
Wigan,Portsmouth,1-2
Tottenham,Bolton,1-0
Man United,Middlesbrough,0-0
Sunderland,Arsenal,0-3
West Brom,West Ham,0-1
Blackburn,Chelsea,1-0
Bolton,Middlesbrough,1-1
Man City,Arsenal,1-3
Sunderland,Fulham,2-1
Arsenal,Wigan,4-2
Aston Villa,Sunderland,2-1
Blackburn,Man City,2-0
Bolton,Birmingham,1-0
Everton,West Brom,2-2
Fulham,Middlesbrough,1-0
Man United,Charlton,4-0
Newcastle,Chelsea,1-0
Portsmouth,Liverpool,1-3
West Ham,Tottenham,2-1
Arsenal,Aston Villa,1-1
Bolton,Tottenham,2-0
Everton,Watford,2-1
Newcastle,Wigan,2-1
Portsmouth,Blackburn,3-0
Reading,Middlesbrough,3-2
Sheffield United,Liverpool,1-1
West Ham,Charlton,3-1
Chelsea,Man City,3-0
Man United,Fulham,5-1
Tottenham,Sheffield United,2-0
Watford,West Ham,1-1
Aston Villa,Reading,2-1
Blackburn,Everton,1-1
Charlton,Man United,0-3
Fulham,Bolton,1-1
Man City,Portsmouth,0-0
Middlesbrough,Chelsea,2-1
Charlton,Bolton,2-0
Fulham,Sheffield United,1-0
Liverpool,West Ham,2-1
Man City,Arsenal,1-0
Tottenham,Everton,0-2
Watford,Man United,1-2
Wigan,Reading,1-0
Aston Villa,Newcastle,2-0
Blackburn,Chelsea,0-2
Middlesbrough,Portsmouth,0-4
Arsenal,Middlesbrough,1-1
Bolton,Watford,1-0
Chelsea,Charlton,2-1
Everton,Liverpool,3-0
Man United,Tottenham,1-0
Newcastle,Fulham,1-2
Portsmouth,Wigan,1-0
Sheffield United,Blackburn,0-0
West Ham,Aston Villa,1-1
Reading,Man City,1-0
Bolton,Middlesbrough,0-0
Charlton,Portsmouth,0-1
Everton,Wigan,2-2
Sheffield United,Reading,1-2
Watford,Aston Villa,0-0
Blackburn,Man City,4-2
Chelsea,Liverpool,1-0
Man United,Arsenal,0-1
Tottenham,Fulham,0-0
West Ham,Newcastle,0-2
Liverpool,Newcastle,2-0
Arsenal,Sheffield United,3-0
Aston Villa,Charlton,2-0
Fulham,Chelsea,0-2
Liverpool,Tottenham,3-0
Man City,West Ham,2-0
Middlesbrough,Blackburn,0-1
Reading,Man United,1-1
Wigan,Watford,1-1
Newcastle,Everton,1-1
Portsmouth,Bolton,0-1
Bolton,Liverpool,2-0
Charlton,Arsenal,1-2
Chelsea,Aston Villa,1-1
Everton,Man City,1-1
Sheffield United,Middlesbrough,2-1
Blackburn,Wigan,2-1
Man United,Newcastle,2-0
Tottenham,Portsmouth,2-1
West Ham,Reading,0-1
Watford,Fulham,3-3
Arsenal,Watford,3-0
Aston Villa,Tottenham,1-1
Liverpool,Blackburn,1-1
Man City,Sheffield United,0-0
Middlesbrough,Everton,2-1
Portsmouth,West Ham,2-0
Reading,Chelsea,0-1
Wigan,Man United,1-3
Newcastle,Bolton,1-2
Fulham,Charlton,2-1
Aston Villa,Fulham,1-1
Charlton,Watford,0-0
Chelsea,Portsmouth,2-1
Everton,Sheffield United,2-0
Wigan,Man City,4-0
Blackburn,Bolton,0-1
Man United,Liverpool,2-0
Middlesbrough,Newcastle,1-0
Reading,Arsenal,0-4
Tottenham,West Ham,1-0
Arsenal,Everton,1-1
Bolton,Man United,0-4
Fulham,Wigan,0-1
Liverpool,Aston Villa,3-1
Newcastle,Charlton,0-0
Portsmouth,Reading,3-1
Sheffield United,Chelsea,0-2
Watford,Tottenham,0-0
West Ham,Blackburn,2-1
Man City,Middlesbrough,1-0
Bolton,Wigan,0-1
Charlton,Man City,1-0
Fulham,Everton,1-0
Liverpool,Reading,2-0
Man United,Portsmouth,3-0
Newcastle,Sheffield United,0-1
Watford,Middlesbrough,2-0
Aston Villa,Blackburn,2-0
Tottenham,Chelsea,2-1
West Ham,Arsenal,1-0
Blackburn,Man United,0-1
Chelsea,Watford,4-0
Everton,Aston Villa,0-1
Man City,Newcastle,0-0
Middlesbrough,West Ham,1-0
Portsmouth,Fulham,1-1
Sheffield United,Bolton,2-2
Wigan,Charlton,3-2
Arsenal,Liverpool,3-0
Reading,Tottenham,3-1
Arsenal,Newcastle,1-1
Chelsea,West Ham,1-0
Everton,Bolton,1-0
Man City,Fulham,3-1
Middlesbrough,Liverpool,0-0
Portsmouth,Watford,2-1
Reading,Charlton,2-0
Sheffield United,Man United,1-2
Blackburn,Tottenham,1-1
Wigan,Aston Villa,0-0
Aston Villa,Middlesbrough,1-1
Bolton,Arsenal,3-1
Charlton,Everton,1-1
Fulham,Reading,0-1
Liverpool,Man City,1-0
West Ham,Sheffield United,1-0
Man United,Chelsea,1-1
Newcastle,Portsmouth,1-0
Tottenham,Wigan,3-1
Watford,Sheffield United,0-1
Aston Villa,Man City,1-3
Bolton,Chelsea,0-1
Fulham,Arsenal,2-1
Liverpool,Portsmouth,0-0
Man United,Everton,3-0
Arsenal,Tottenham,3-0
Blackburn,Fulham,2-0
Middlesbrough,Man United,1-2
Portsmouth,Aston Villa,2-2
